"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.6,0.4,180,180,8.7,30.2586454819424
0.6,0.4,180,180,8.7125,32.2988615723552
0.6,0.4,180,180,8.725,34.6918033982824
0.6,0.4,180,180,8.7375,37.6329516752076
0.6,0.4,180,180,8.75,41.5412248206993
0.6,0.4,180,180,8.7625,47.6489491946269
0.6,0.4,180,180,8.775,66.7875510874303
0.6,0.4,180,180,8.7875,51.5078044380222
0.6,0.4,180,180,8.8,45.7623021238662
0.6,0.4,180,180,8.8125,43.1697415762305
0.6,0.4,180,180,8.825,42.0177262363992
0.6,0.4,180,180,8.8375,41.9697966241023
0.6,0.4,180,180,8.85,43.1989777592296
0.6,0.4,180,180,8.8625,46.7174871037747
0.6,0.4,180,180,8.875,60.6034099696851
0.6,0.4,180,180,8.8875,47.6058183865938
0.6,0.4,180,180,8.9,39.5095566641896
0.6,0.4,180,180,8.9125,34.8802354429344
0.6,0.4,180,180,8.925,31.6825930424512
0.6,0.4,180,180,8.9375,29.3479317499948
0.6,0.4,180,180,8.95,27.6208583433804
0.6,0.4,180,180,8.9625,26.3458268125639
0.6,0.4,180,180,8.975,25.403581186118
0.6,0.4,180,180,8.9875,24.6900823344034
0.6,0.4,180,180,9,24.1125542750225
