freq	dB(SP1.SP.S(1,1))
4.45999999999999996E9	-1.32723135276612303E1
4.47000000000000064E9	-1.37224483492665361E1
4.47999999999999954E9	-1.41976399940996223E1
4.49000000000000021E9	-1.47003014581692515E1
4.50000000000000000E9	-1.52332636604082605E1
4.50999999999999979E9	-1.57991079190516870E1
4.52000000000000046E9	-1.64019252006099303E1
4.52999999999999936E9	-1.70464387912113158E1
4.54000000000000004E9	-1.77384297424825421E1
4.54999999999999982E9	-1.84850764271560020E1
4.56000000000000050E9	-1.92928019586756738E1
4.57000000000000028E9	-2.01746408206626260E1
4.58000000000000007E9	-2.11456208940045176E1
4.58999999999999986E9	-2.22260769021515303E1
4.59999999999999964E9	-2.34444820602664272E1
4.61000000000000032E9	-2.48352815843708674E1
4.62000000000000011E9	-2.64660122719611790E1
4.62999999999999989E9	-2.84413444801312520E1
4.63999999999999968E9	-3.09552255751026983E1
4.65000000000000036E9	-3.44345073234405907E1
4.66000000000000014E9	-4.01319162546116548E1
4.66999999999999993E9	-4.57403456575691347E1
4.67999999999999972E9	-4.20532506407347473E1
4.68999999999999950E9	-3.56503604991599810E1
4.70000000000000018E9	-3.20674483374693020E1
4.70999999999999996E9	-2.96026799117176109E1
4.72000000000000064E9	-2.77245533116726506E1
4.72999999999999954E9	-2.62147920265836776E1
4.74000000000000021E9	-2.49582848714894823E1
4.75000000000000000E9	-2.38868359227410609E1
4.75999999999999979E9	-2.29645887021642636E1
4.77000000000000046E9	-2.21524930627064309E1
4.77999999999999936E9	-2.14297347078509404E1
4.79000000000000004E9	-2.07809597051361505E1
4.79999999999999982E9	-2.01945168519499285E1
4.81000000000000050E9	-1.96667212417380877E1
4.82000000000000028E9	-1.91843889959079972E1
4.83000000000000007E9	-1.87418433167557841E1
4.83999999999999986E9	-1.83344388222961285E1
4.84999999999999964E9	-1.79583259906272086E1
4.86000000000000032E9	-1.76143777916512079E1
4.87000000000000011E9	-1.72953791616370434E1
4.87999999999999989E9	-1.69990453422308940E1
4.88999999999999968E9	-1.67234098527660491E1
4.90000000000000036E9	-1.64667682374243185E1
4.91000000000000014E9	-1.62309528834487549E1
4.91999999999999993E9	-1.60110757966342154E1
4.92999999999999972E9	-1.58060110486131000E1
4.93999999999999950E9	-1.56147606598717537E1
4.95000000000000018E9	-1.54364362092683893E1
4.95999999999999996E9	-1.52730282075951185E1
4.97000000000000064E9	-1.51208436856964279E1
4.97999999999999954E9	-1.49792560444503042E1
4.99000000000000021E9	-1.48476993646535571E1
5.00000000000000000E9	-1.47256610913369923E1
5.00999999999999979E9	-1.46150655443241040E1
5.02000000000000046E9	-1.45129439648804870E1
5.02999999999999936E9	-1.44189184528007974E1
5.04000000000000004E9	-1.43326432330122988E1
5.04999999999999982E9	-1.42538013277031772E1
5.06000000000000050E9	-1.41841801834735737E1
5.07000000000000028E9	-1.41213017483730519E1
5.08000000000000007E9	-1.40649235845417020E1
5.08999999999999986E9	-1.40148214604328203E1
5.09999999999999964E9	-1.39707876703362599E1
5.11000000000000032E9	-1.39344444601822470E1
5.12000000000000011E9	-1.39036770311580460E1
5.12999999999999989E9	-1.38783193352025469E1
5.13999999999999968E9	-1.38582158018507551E1
5.15000000000000036E9	-1.38432203912698304E1
5.16000000000000014E9	-1.38347673833826112E1
5.16999999999999993E9	-1.38310346481466295E1
5.17999999999999972E9	-1.38318966606053539E1
5.18999999999999950E9	-1.38372333482039744E1
5.20000000000000018E9	-1.38469294622660932E1
5.20999999999999996E9	-1.38621987224852705E1
5.22000000000000064E9	-1.38814772970009592E1
5.22999999999999954E9	-1.39046540319913547E1
5.24000000000000021E9	-1.39316192395481142E1
5.25000000000000000E9	-1.39622641684482773E1
5.25999999999999979E9	-1.39975311604172736E1
5.27000000000000046E9	-1.40361076171290566E1
5.27999999999999936E9	-1.40778736598083887E1
5.29000000000000004E9	-1.41227070630144302E1
5.29999999999999982E9	-1.41704827016783641E1
5.31000000000000050E9	-1.42217974720885088E1
5.32000000000000028E9	-1.42756070318775019E1
5.33000000000000007E9	-1.43317596829722538E1
5.33999999999999986E9	-1.43900974454073527E1
5.34999999999999964E9	-1.44504554476996927E1
5.36000000000000032E9	-1.45129874411293813E1
5.37000000000000011E9	-1.45769585808886926E1
5.37999999999999989E9	-1.46421629237762430E1
5.38999999999999968E9	-1.47083847102607934E1
5.40000000000000036E9	-1.47753978166633382E1
5.41000000000000014E9	-1.48428018437168197E1
5.41999999999999993E9	-1.49102392809898454E1
5.42999999999999972E9	-1.49774351992660781E1
5.43999999999999950E9	-1.50441036839516729E1
5.45000000000000018E9	-1.51099477020847917E1
5.45999999999999996E9	-1.51739213848972154E1
5.47000000000000064E9	-1.52361410910550643E1
5.47999999999999954E9	-1.52962730016209369E1
5.49000000000000021E9	-1.53539772736912949E1
5.50000000000000000E9	-1.54089088226400595E1
5.50999999999999979E9	-1.54593740980435856E1
5.52000000000000046E9	-1.55060801855427122E1
5.52999999999999936E9	-1.55486948689167859E1
5.54000000000000004E9	-1.55868946672345610E1
5.54999999999999982E9	-1.56203665706190686E1
5.56000000000000050E9	-1.56469565229369323E1
5.57000000000000028E9	-1.56680542291076175E1
5.58000000000000007E9	-1.56834528405961215E1
5.58999999999999986E9	-1.56929763315508208E1
5.59999999999999964E9	-1.56964808495333807E1
5.61000000000000032E9	-1.56918001957358699E1
5.62000000000000011E9	-1.56809616175229039E1
5.62999999999999989E9	-1.56640316421018988E1
5.63999999999999968E9	-1.56411238209189318E1
5.65000000000000036E9	-1.56123976101180739E1
5.66000000000000014E9	-1.55763330202978834E1
5.66999999999999993E9	-1.55352685772622556E1
5.67999999999999972E9	-1.54896243814490564E1
5.68999999999999950E9	-1.54398639155826722E1
5.70000000000000018E9	-1.53864906927347200E1
5.70999999999999996E9	-1.53293185023730727E1
5.72000000000000064E9	-1.52703531786491897E1
5.72999999999999954E9	-1.52103204878395437E1
5.74000000000000021E9	-1.51499692432316979E1
5.75000000000000000E9	-1.50900696069545992E1
5.75999999999999979E9	-1.50322921136630039E1
5.77000000000000046E9	-1.49775153687357632E1
5.77999999999999936E9	-1.49266316259010612E1
5.79000000000000004E9	-1.48805364393561024E1
5.79999999999999982E9	-1.48401328679677147E1
5.81000000000000050E9	-1.48091435777183378E1
5.82000000000000028E9	-1.47866551294001347E1
5.83000000000000007E9	-1.47735660284981529E1
5.83999999999999986E9	-1.47707697995758269E1
5.84999999999999964E9	-1.47791653590556038E1
5.86000000000000032E9	-1.48041736153490411E1
5.87000000000000011E9	-1.48428203760482891E1
5.87999999999999989E9	-1.48958369242647271E1
5.88999999999999968E9	-1.49639412547421058E1
5.90000000000000036E9	-1.50478474711331978E1
5.91000000000000014E9	-1.51534143391741183E1
5.91999999999999993E9	-1.52759091306354189E1
5.92999999999999972E9	-1.54155637502019949E1
5.93999999999999950E9	-1.55725250426895445E1
5.95000000000000018E9	-1.57468424332396228E1
5.95999999999999996E9	-1.59418645125411640E1
5.97000000000000064E9	-1.61518549844386472E1
5.97999999999999954E9	-1.63754695208016576E1
5.99000000000000021E9	-1.66109641712461986E1
